grid_id,lat,lon,count,freq_5yr,freq_10yr,freq_20yr,total_damages,total_deaths,total_affected,avg_duration,top_month,monthly_dist,risk_slope,severity_score,severity_score_normalized,primary_admin1,unique_locations
46_-94,46,-94,10,0,0,2,26100.0,51.0,1260.0,0.0,June,January:2;March:1;June:4;July:1;October:1;December:1,0.1923,0.73,47.27,Minnesota," Minnesota, Brainerd, Minnesota, Virginie"
46_10,46,10,2,0,0,0,1250700.0,32.0,1000.0,1.5,July,July:1;September:1,,0.37,34.91,Lombardia,"Bergame, Lombardi region"
46_11,46,11,2,1,1,2,118000.0,7.0,210.0,15.5,March,March:1;August:1,,0.08,25.0,Trentino-Alto Adige,"  Lago di Garda , Trentin-Haut-Adige"
46_13,46,13,2,0,1,1,873000.0,4.0,24.0,1.0,June,June:1;October:1,,0.04,23.89,Friuli-Venezia Giulia,"Friuli, Udine"
46_132,46,132,1,0,0,0,0.0,19.0,130.0,27.0,March,March:1,,-0.16,17.04,Heilongjiang,Gixi region
46_14,46,14,1,0,0,1,292000.0,6.0,1050.0,2.0,September,September:1,,-0.04,20.95,Gorenjska,Gorenjska
46_21,46,21,1,1,1,1,7300.0,9.0,137.0,0.0,September,September:1,,-0.07,20.08,Timis,Timisoara
46_23,46,23,1,0,0,1,0.0,1.0,600.0,2.0,June,June:1,,-0.54,3.94,Alba,Alba region
46_27,46,27,2,0,0,1,0.0,7.0,800.0,0.0,May,May:1;July:1,,-0.19,15.83,Bacau,"Bacau, North-East"
46_3,46,3,1,0,0,0,350000.0,12.0,0.0,3.0,November,November:1,,0.07,24.61,Auvergne-Rhone-Alpes,Auvergne-Rhone-Alpes
46_45,46,45,1,0,0,0,0.0,52.0,2100.0,0.0,March,March:1,,0.01,22.58,Kalmyk,Kalmyk Republic
46_6,46,6,1,1,1,1,250000.0,0.0,84.0,1.0,June,June:1,,-0.37,9.76,Geneve,Geneva
46_7,46,7,1,1,1,1,200000.0,6.0,30.0,1.0,January,January:1,,-0.05,20.65,Bern,Lenk
46_8,46,8,2,0,1,1,0.0,0.0,143.0,0.0,January,January:1;December:1,,-0.54,4.0,Valais,"Alpes Bernoises, Valais"
46_9,46,9,3,1,1,1,139900.0,3.0,0.0,9.0,July,July:2;November:1,0.0,0.05,24.02,Ticino,"Tessin, Ticino canton"
47_-110,47,-110,2,0,0,0,1000000.0,328.0,0.0,13.5,January,January:1;June:1,,0.74,47.81,Montana,Montana
47_-120,47,-120,2,1,1,2,550000.0,61.0,85000212.0,15.0,January,January:1;August:1,,0.45,37.85,Washington," District of Columbia province, Washington DC"
47_-66,47,-66,4,0,2,3,50000.0,13.0,1544.0,0.5,February,February:1;August:1;September:1;December:1,0.0,0.3,32.54,New Brunswick,"New Brunswick, New-Brunswick, Nouveau Brunswick"
47_11,47,11,1,1,1,1,0.0,0.0,0.0,0.0,October,October:1,,-0.65,0.0,Trentino-Alto Adige,  Bolzano Province
47_13,47,13,2,0,1,2,500000.0,5.0,300.0,1.0,February,February:1;November:1,,0.06,24.49,Salzburg,"Salzbourg, Salzbourg region"
47_15,47,15,2,1,1,2,138000.0,3.0,210.0,2.0,May,May:1;August:1,,-0.03,21.18,Steiermark," Kobenz, Styrie province"
47_19,47,19,1,0,0,1,10000.0,5.0,300.0,0.0,August,August:1,,-0.14,17.42,Budapest,Budapest
47_20,47,20,1,1,1,1,0.0,0.0,1298.0,0.0,June,June:1,,-0.65,0.0,Bacs-Kiskun, and  KecskemŽt area  
47_24,47,24,1,0,0,1,0.0,14.0,300.0,27.0,January,January:1,,-0.2,15.4,Cluj, Cluj
47_26,47,26,1,0,0,1,0.0,7.0,1200.0,4.0,July,July:1,,-0.31,11.83,Harghita,Harghita
47_29,47,29,1,0,0,1,31600.0,0.0,2600000.0,1.0,November,November:1,,-0.42,8.14,Chisinau,Chisinau
47_5,47,5,1,0,0,0,22000.0,0.0,0.0,1.0,July,July:1,,-0.42,7.85,Bourgogne-Franche-Comte,Saonne et Loire
47_6,47,6,1,0,0,1,0.0,1.0,602.0,1.0,October,October:1,,-0.54,3.94,Bourgogne-Franche-Comte,Doubs
47_7,47,7,1,0,0,0,2000.0,0.0,0.0,0.0,August,August:1,,-0.48,5.97,Fribourg,Fribourg
