grid_id,lat,lon,count,freq_5yr,freq_10yr,freq_20yr,total_damages,total_deaths,total_affected,top_month,monthly_dist,risk_slope,severity_score,severity_score_normalized,primary_admin1,unique_locations
41_14,41,14,2,1,1,1,0.0,2.0,23672.0,August,August:1;September:1,,-0.16,11.62,Campania," Lacco Ameno , Pozzuoli"
41_141,41,141,1,0,0,0,131000.0,47.0,2781.0,May,May:1,,0.33,27.8,Aomori,Aomori Prefecture
41_15,41,15,2,0,0,0,20000000.0,4689.0,408700.0,March,March:1;November:1,,1.29,59.63,Campania,Avellino
41_16,41,16,1,0,0,0,0.0,2.0,16.0,May,May:1,,-0.36,5.01,Basilicata,Potenza area
41_20,41,20,2,0,0,0,5000.0,1.0,5695.0,January,January:1;November:1,,0.01,17.11,Fier,"Lushnje, Tirana"
41_22,41,22,1,0,0,0,0.0,0.0,1516.0,September,September:1,,-0.51,0.0,Demir Kapija,Demir Kapija
41_23,41,23,2,0,0,0,250000.0,51.0,600160.0,June,June:1;December:1,,0.56,35.33,Macedonia And Thrace,"Goumenisa, Thessaloniki"
41_27,41,27,1,1,1,1,450000.0,3.0,75002.0,May,May:1,,0.02,17.53,Tekirdag,Tekirdag
41_29,41,29,1,0,0,0,0.0,53.0,350.0,March,March:1,,0.04,18.19,Manisa,West Alasehir
41_30,41,30,1,0,0,1,0.0,1.0,166.0,August,August:1,,-0.42,3.16,Kocaeli,Izmit
41_31,41,31,1,0,0,1,0.0,3.0,200.0,November,November:1,,-0.32,6.32,Sakarya,Sakarya Province
41_32,41,32,2,0,0,2,21000000.0,17972.0,1583901.0,August,August:1;November:1,,1.48,65.8,Bolu,Bolu
41_33,41,33,1,0,0,1,0.0,2.0,23080.0,June,June:1,,-0.36,5.01,Cankiri,Orta
41_36,41,36,1,0,0,0,30000.0,0.0,26006.0,August,August:1,,-0.24,8.88,Amasya,Amasya
41_42,41,42,2,0,0,0,0.0,6.0,750073.0,September,September:1;October:1,,-0.04,15.48,Erzurum,"Erzurum-Senkaya, Olur-Senkaya"
41_44,41,44,1,0,0,0,14000000.0,25000.0,1642000.0,December,December:1,,1.31,60.35,Lori,Spitak
41_45,41,45,1,0,0,0,33333.0,0.0,15000.0,July,July:1,,-0.24,8.97,Tavush,Tavush region
41_69,41,69,1,0,0,0,300000.0,10.0,100000.0,April,April:1,,0.15,21.8,Tashkent,Tashkent
41_70,41,70,1,0,0,1,0.0,11.0,7003.0,July,July:1,,-0.17,11.33,Leninabad,Asht district
41_72,41,72,1,0,0,0,0.0,9.0,50000.0,May,May:1,,-0.19,10.5,Andijon,Andizhan oblast
41_74,41,74,1,0,0,0,0.0,0.0,3000.0,December,December:1,,-0.51,0.0,Osh,Uzgen
41_75,41,75,1,0,0,0,2000.0,0.0,1230.0,January,January:1,,-0.31,6.55,Naryn,Ak-Tala district
41_76,41,76,1,0,0,0,130000.0,54.0,86806.0,August,August:1,,0.35,28.41,Naryn,Naryn
